player_id,nickname,country,position,faceit_elo,game_skill_level,lifetime_matches,lifetime_win_rate_percent,lifetime_kd_ratio,lifetime_headshots_percent
ccd84605-ce9d-4c0b-9e58-38d19351ee09,kepeer,br,407,2655,10,1065,53,1.34,47
94b2d91e-b900-40cd-8d9c-aa0e2cb33d14,Nemito01,ar,408,2655,10,1585,53,1.2,48
30141a1e-664b-48c9-ba7b-7e1fbe3e1e4d,ktRoOk1E,uy,409,2655,10,2353,58,1.16,48
d2ef8224-2308-4abf-8a31-2e3882421f0a,_Koda-,ar,410,2653,10,3490,52,1.12,51
71870e83-b37a-44b0-8539-2f6e29fad48b,jeruzzz772,ar,411,2653,10,4319,54,1.11,58
64e5a397-6310-452b-a62a-b61ed9169cdc,Maskong,ru,412,2653,10,472,55,1.2,52
0861737b-014e-43db-b266-7b2886c8a071,yeat7777,br,413,2650,10,3906,51,1.06,48
6b366cde-62a9-40f7-9da9-4477a56283ac,KratZzen,cl,414,2649,10,4668,53,1.34,49
5dd306f1-1fba-45a1-8c99-d89f3d405da0,marcelok,br,415,2649,10,2058,52,1.08,51
db1402e8-c068-400c-aa57-4205fa001268,braz4n,br,416,2648,10,1421,52,1.2,52
88c1ad4a-e49d-4b89-9ffe-ad2c3cb4c19b,N3blina,br,417,2648,10,1862,56,1.22,55
4804d07d-ecee-4449-a531-11d7608d9fe8,brokenzinho,cl,418,2648,10,1295,53,1.21,41
3af56586-bb6c-4c31-9649-d38564773c19,criz6,uy,419,2647,10,1325,57,1.46,50
f42d52f2-d1b4-421c-a424-06ca971dc1bb,Kud,ar,420,2646,10,3547,51,1.14,55
e868edf4-1123-4fb9-8983-339665cf1b9a,slayerz1k,br,421,2645,10,3241,54,1.06,51
da1e1ee2-eebe-4d51-9095-ae5f5c1aea71,zenoooN,it,422,2644,10,616,58,1.36,41
c489fa81-182c-42ae-b34e-33d39c226f47,smackyo,br,423,2644,10,2161,54,1.21,65
2a1993e8-3c3f-4c64-a80c-d98e041ebda9,t0sy,ar,424,2644,10,681,54,1.51,59
10a2caf7-b82f-4889-bc8a-565249e5cca0,Evayo,ar,425,2644,10,2310,53,1.23,50
b1fd05a4-6c62-4c29-8ba2-d61234660b21,yoichi,fr,426,2643,10,2905,52,1.09,52
fdd487e5-6372-456e-9fc5-f30203a6fbb4,RwPoN,ar,427,2642,10,3544,54,1.23,46
d6d6b7a2-cddf-4257-a9c0-319caf7f7a6c,hgl-,br,428,2641,10,425,67,1.34,37
0e6b63f9-6411-4452-a8e0-e48e7f64d9b5,vitafrxK,br,429,2641,10,2029,61,1.4,48
f0c9aac1-4365-4094-a13c-98334d3b2f43,p1m3nt1nh4,br,430,2640,10,1796,55,1.15,40
b58cb733-9f21-4017-adb5-a7632bc74e08,busan-,ar,431,2640,10,981,54,1.22,59
610dc16c-0635-40c7-9dd0-304973458ce4,protado-,br,432,2640,10,1962,60,1.2,54
57267532-09c2-4b0f-8c69-10ff826f42b6,rekiz-,br,433,2640,10,1182,56,1.09,52
1a423c6f-2da0-49be-8a20-f68e128c70a7,Crauu,br,434,2640,10,451,65,1.47,45
140fd62a-fb97-45fb-b6dd-dae20a17be2d,dezZutti_-,br,435,2640,10,987,57,1.42,53
d68c4dc0-e0e7-4395-a1f2-244be73d4531,Gatsbyy,br,436,2639,10,402,59,1.17,50
